lambda_0_0 1.0
lambda_1_1 1.0
lambda_2_2 1.0
Objective value initial problem: -0.0
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 2938
number of dominated labels: 11907
Subproblem took 193 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 3034
number of dominated labels: 23935
Subproblem took 191 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 993
number of dominated labels: 27591
Subproblem took 50 milli seconds
 
Objective value: 2344644.094136
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 2705
number of dominated labels: 38789
Subproblem took 179 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 2714
number of dominated labels: 49937
Subproblem took 167 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 978
number of dominated labels: 53577
Subproblem took 50 milli seconds
 
Objective value: 3500551.4254868
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 2930
number of dominated labels: 64897
Subproblem took 203 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 2996
number of dominated labels: 76340
Subproblem took 200 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 1038
number of dominated labels: 79987
Subproblem took 53 milli seconds
 
Objective value: 3500551.4254868
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 2269
number of dominated labels: 88932
Subproblem took 135 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 2275
number of dominated labels: 97908
Subproblem took 131 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 880
number of dominated labels: 100895
Subproblem took 41 milli seconds
 
Objective value: 4088862.9546296
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 2387
number of dominated labels: 110433
Subproblem took 135 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 2417
number of dominated labels: 119960
Subproblem took 137 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 863
number of dominated labels: 122970
Subproblem took 39 milli seconds
 
Objective value: 4088862.9546296
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 2509
number of dominated labels: 133121
Subproblem took 150 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 2491
number of dominated labels: 143272
Subproblem took 152 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 821
number of dominated labels: 145975
Subproblem took 37 milli seconds
 
Objective value: 4088862.9546296
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 2191
number of dominated labels: 154632
Subproblem took 125 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 2230
number of dominated labels: 163489
Subproblem took 129 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 907
number of dominated labels: 166579
Subproblem took 47 milli seconds
 
Objective value: 4089756.3409904
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 3017
number of dominated labels: 178375
Subproblem took 191 milli seconds

Solving subproblem for vehicle 1
number of non-dominated paths: 3056
number of dominated labels: 190286
Subproblem took 189 milli seconds

Solving subproblem for vehicle 2
number of non-dominated paths: 1011
number of dominated labels: 194017
Subproblem took 49 milli seconds
 
Objective value: 4091366.2209903994
 
----- New master problem ----
 

Solving subproblem for vehicle 0
number of non-dominated paths: 3005
number of dominated labels: 205896
